titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
All Night Long;Lionel Richie;1983;1016;1129;1104;1363;1701;1464;1688;1451;0;1780;1864;1849;0;1505;0;0
Dancing On The Ceiling;Lionel Richie;1986;1729;1314;1777;0;0;0;0;0;0;0;0;0;0;0;0;0
My Destiny;Lionel Richie;1992;1547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penny Lover;Lionel Richie;1984;1873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stuck On You;Lionel Richie;1984;1463;0;1479;0;0;1673;1982;1997;0;0;0;0;0;0;0;0
Face In The Crowd;Lionel Richie & Trijntje Oosterhuis;2008;0;0;0;0;0;0;0;0;0;0;1562;1252;1304;1510;1967;0
Funky Town;Lipps Inc;1980;1481;1600;1688;1964;1398;1952;0;0;0;0;0;0;0;0;0;0
Narcotic;Liquido;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1344;773
Hallelujah;Lisa Lois;2009;0;0;0;0;0;0;0;0;0;0;0;409;296;393;458;593
All Around The World;Lisa Stansfield;1989;1472;0;1967;1949;0;0;0;0;0;0;0;0;0;0;0;0
Long Haired Lover From Liverpool;Little Jimmy Osmond;1973;0;1680;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Will Follow Him;Little Peggy March;1963;1917;1991;1991;0;0;0;0;0;0;0;0;0;0;0;0;0
Long Tall Sally;Little Richard;1956;1695;1386;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tutti Frutti;Little Richard;1957;1548;1750;1947;0;0;1998;0;0;0;0;0;0;0;0;0;0
It's A Long Way There;Little River Band;1976;640;530;573;423;635;658;648;716;892;677;719;604;842;1015;1030;825
Home On A Monday;Little River Band;1977;1443;1106;1057;937;1358;1421;1473;1613;1987;1546;1829;1623;1952;1933;1984;1766
Forever Blue;Little River Band;1995;1246;984;854;890;1178;1238;1210;1379;1451;1274;1819;1601;1835;1973;1819;1864
Reminiscing;Little River Band;1978;1536;0;1753;0;0;0;0;0;0;0;0;0;0;0;0;0
Bitter Fruit;Little Steven;1987;0;1921;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lightning Crashes;Live;1995;0;0;0;0;0;0;0;0;0;0;0;0;240;270;204;228
Overcome;Live;2001;0;0;879;107;64;184;352;409;650;267;419;414;322;425;383;497
I Alone;Live;1995;0;0;0;0;0;0;0;0;0;0;544;758;593;667;622;744
The Dolphin’s Cry;Live;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1088
Run To The Water;Live;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1270
Selling The Drama;Live;1995;0;0;0;0;0;0;0;0;0;0;1842;0;1897;1838;1911;0
You Are My Love;Liverpool Express;1976;0;1200;1351;1501;1657;1956;0;0;0;0;0;0;0;0;0;0
Wang Dang Doodle;Livin' Blues;1971;0;0;0;0;0;0;1952;1474;1628;1888;1905;1976;0;0;0;0
Love Rears Its Ugly Head;Living Colour;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1566
Personality;Lloyd Price;1959;1807;1575;1922;1945;1744;0;0;0;0;0;0;0;0;0;0;0
Me And You And A Dog Named Boo;Lobo;1971;1776;1568;1566;1599;1623;0;0;0;0;0;0;0;0;0;0;0
I've Been Thinking About You;London Beat;1990;1525;1499;1948;1788;1759;1950;0;0;0;0;0;0;0;0;0;0
Strong;London Grammar;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;772
(Walk Me Out) In The Morning Dew;Long John Baldry;1981;1095;871;1132;1114;1005;1042;1273;982;846;977;1162;1274;1291;843;1262;1385
Do You Remember;Long Tall Ernie & Shakers;1977;952;951;1762;0;0;0;0;0;0;0;0;0;0;0;0;0
Royals;Lorde;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1206;649
Euphoria;Loreen;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;484;881;1413
How Many Times;Lori Spee;1982;1574;0;1703;0;1918;0;1991;1925;0;0;0;0;0;0;0;0
La Malaguena;Los Angeles;1973;1901;1890;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Black Is Black;Los Bravos;1966;1427;1545;1701;0;1730;1896;1761;1906;1971;1788;0;0;0;0;0;0
Macarena;Los del Rio;1996;0;0;1875;1328;0;0;0;0;0;0;0;0;0;0;0;0
El Condor Pasa;Los Incas;1970;0;0;0;0;1873;0;0;0;0;0;0;0;0;0;0;0
Maria Elena;Los Indios Tabajaras;1964;1787;1893;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Bamba;Los Lobos;1987;0;994;0;1267;0;1815;1954;1958;0;0;0;0;0;0;0;0
I'm Gonna Make You Mine;Lou Christie;1969;0;1968;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lady Love;Lou Rawls;1977;1855;1844;0;0;0;0;0;0;0;0;0;0;0;0;0;0
See You When I Get There;Lou Rawls;1977;1980;1859;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fine Brown Frame;Lou Rawls & Diana Reeves;1989;1796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perfect Day;Lou Reed;1972;195;0;271;231;129;80;109;103;121;115;125;111;119;160;34;92
Walk On The Wild Side;Lou Reed;1973;292;125;562;437;299;448;605;597;835;533;588;677;625;729;263;507
Intro / Sweet Jane;Lou Reed;1974;0;1138;0;1810;1764;1188;921;1872;1832;1554;1895;1786;1290;1241;731;1059
Satellite Of Love;Lou Reed;1972;1415;0;0;0;0;0;0;0;0;0;0;0;0;0;1196;1964
What A Wonderful World;Louis Armstrong;1968;183;473;658;574;433;345;371;281;399;350;476;464;464;423;343;410
Hello Dolly;Louis Armstrong;1964;1327;0;0;1782;0;0;0;1461;1830;1975;0;0;0;0;0;0
Margrietje (De Rozen Zullen Bloeien);Louis Neefs;1972;0;0;0;1849;1597;1856;1717;1495;0;1887;0;0;0;0;0;0
Buona Sera;Louis Prima;1958;936;1130;1625;1441;1356;1601;1727;1160;1719;1446;0;0;0;0;0;0
Everlasting Love;Love Affair;1968;1437;1663;1478;1518;1736;1583;1264;1533;1997;1610;1986;1758;0;0;0;0
Rainbow Valley;Love Affair;1968;0;1855;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'm So Glad To Be A Woman;Love Unlimited;1981;1701;1776;1627;0;0;0;0;0;0;0;0;0;0;0;0;0
Walking In The Rain With The One I Love;Love Unlimited;1972;1826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love's Theme;Love Unlimited Orchestra;1974;0;1942;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Darling Be Home Soon;Lovin' Spoonful;1967;1102;1095;1069;987;1387;1081;1656;1442;0;1716;0;0;0;0;0;0
Daydream;Lovin' Spoonful;1966;1909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rain On The Roof;Lovin' Spoonful;1966;0;1854;0;1738;0;0;0;0;0;0;0;0;0;0;0;0
Summer In The City;Lovin' Spoonful;1966;803;935;992;968;1107;804;1170;1384;1811;1241;1515;1541;1640;0;1975;0
Cheek To Cheek;Lowell George;1979;1792;0;1756;1802;1961;1831;0;0;0;0;0;0;0;0;0;0
(Everytime I Turn Around) Back In Love Again;LTD;1978;0;1653;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shine On;LTD;1981;1627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
What You're Made Of;Lucie Silvas;2004;0;0;0;0;0;0;0;856;1662;1795;0;1991;0;0;0;0
House For Sale;Lucifer;1975;275;452;525;630;596;583;551;667;866;634;1024;890;836;883;920;994
Colinda;Lucille Starr;1965;1865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
French Song;Lucille Starr;1964;1247;1256;1759;1737;1691;1490;1245;1330;1613;1447;0;0;0;0;0;0
Lay Love On You;Luisa Fernandez;1978;0;1447;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Man Who Sold The World;Lulu;1974;0;1474;1706;1683;1628;0;0;0;0;0;0;0;0;0;0;0
You're The Greatest Lover;Luv';1978;0;0;1191;0;1843;0;0;1978;0;0;0;0;0;0;0;0
Rose Garden;Lynn Anderson;1971;1538;1838;1832;228;1974;0;0;0;0;0;0;0;0;0;0;0
Sugar Me;Lynsey de Paul;1972;1467;1578;1613;1794;1907;1876;0;0;0;0;0;0;0;0;0;0
Won't Somebody Dance With Me;Lynsey de Paul;1973;1995;0;1747;0;0;0;0;0;0;0;0;0;0;0;0;0
Free Bird;Lynyrd Skynyrd;1974;0;749;0;0;0;0;899;858;807;1206;512;550;446;347;294;366
Sweet Home Alabama;Lynyrd Skynyrd;1974;405;453;329;355;270;256;237;376;428;323;268;354;377;441;344;422
Popmuzik;M;1979;1068;1285;1332;1846;0;0;0;0;0;0;0;0;0;0;0;0
Suicide Is Painless;M.A.S.H.;1970;825;543;674;825;757;960;1212;1363;1614;1163;791;610;904;1047;1043;737
Dat Ik Je Mis;Maaike Ouboter;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819;140
Red Mij Niet;Maarten van Roozendaal;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1521;797
Freedom;Mac & Katie Kissoon;1972;0;0;1999;0;0;0;0;0;0;0;0;0;0;0;0;0
Same Love;Macklemore & Ryan Lewis;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1335
One Step Beyond;Madness;1979;415;677;550;482;610;510;811;773;1116;729;421;463;508;384;373;295
Baggy Trousers;Madness;1980;0;495;1021;1042;627;805;1089;1471;1542;1119;606;681;802;613;756;740
Nightboat To Cairo;Madness;1980;0;888;1570;945;671;833;1206;1424;1642;1171;836;933;980;944;858;840
Embarrassment;Madness;1981;0;1251;1705;1218;1476;1590;1981;0;0;0;1517;1704;0;1704;1624;1576
Frozen;Madonna;1998;0;0;0;0;0;0;523;536;808;927;506;594;579;477;589;622
Like A Prayer;Madonna;1989;220;341;409;386;450;553;580;804;1082;656;942;949;943;932;929;887
Live To Tell;Madonna;1986;392;614;811;1141;1162;1465;1546;1401;1794;1420;1429;1617;1784;1619;1423;1339
La Isla Bonita;Madonna;1987;501;632;779;827;966;1234;1151;1497;1656;1281;1385;1507;1502;1325;1510;1391
Vogue;Madonna;1990;0;0;0;0;0;0;0;0;1846;0;1256;1628;1652;1580;1357;1534
Ray Of Light;Madonna;1998;0;0;0;0;0;0;0;0;0;0;1571;1400;1711;1715;1615;1643
Papa Don't Preach;Madonna;1986;0;1000;1621;1586;1457;1505;1603;1897;0;1862;1926;1577;0;0;1998;1769
Borderline;Madonna;1986;0;911;1217;1502;1530;1748;1411;1877;0;1855;0;1934;0;1882;0;1999
Crazy For You;Madonna;1985;0;1425;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dress You Up;Madonna;1985;0;1662;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Holiday;Madonna;1984;840;1323;1608;1932;1650;1681;1889;0;0;0;0;0;0;0;0;0
Hung Up;Madonna;2005;0;0;0;0;0;0;0;0;0;0;1641;1646;1873;0;0;0
Into The Groove;Madonna;1985;1023;1330;1691;1901;1693;1921;0;0;0;0;0;0;0;0;0;0
Like A Virgin;Madonna;1984;485;961;1165;1417;1281;1208;1351;1511;0;1719;1830;1829;0;0;0;0
Material Girl;Madonna;1985;649;0;0;1856;0;1895;1965;0;0;0;0;0;0;0;0;0
Open Your Heart;Madonna;1986;0;1454;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Power Of Goodbye;Madonna;1998;0;0;0;0;0;0;0;0;0;0;1843;1826;0;0;1966;0
Terug Naar De Kust;Maggie MacNeal;1976;491;471;629;739;650;569;549;592;584;576;687;753;1010;960;1139;986
When You're Gone;Maggie MacNeal;1975;0;1303;1302;1798;1885;0;0;0;0;0;0;0;0;0;0;0
Lord Of The Ages;Magna Carta;1973;0;512;0;0;0;0;0;0;0;0;1373;1133;1259;1212;1432;1379
Airport Song;Magna Carta;1970;930;688;496;817;871;1296;1204;1279;1633;1202;1535;1548;0;1802;0;0
Took A Long Time;Magna Carta;1976;0;1297;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am I Losing You Forever;Mai Tai;1985;1401;0;1551;1316;0;0;0;0;0;0;0;0;0;0;0;0
Heartache Avenue;Maisonettes;1983;1798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
J'me Tire;Maitre Gims;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1233
Because I Love;Majority One;1971;0;1544;0;1699;1646;0;0;0;0;0;0;0;0;0;0;0
Ole Guapa;Malando;1948;1440;1898;1906;1658;1588;0;0;0;0;0;0;0;0;0;0;0
Dream A Little Dream Of Me;Mama Cass;1968;1103;1597;1476;1647;1756;1455;1626;1570;1528;1558;1758;1738;1742;1914;1769;1868
Dedicated To The One I Love;Mama's & Papa's;1967;1433;1659;1687;1659;0;1975;0;1797;0;0;1722;1769;0;0;0;0
I Saw Her Again;Mama's & Papa's;1966;0;1326;2000;1977;0;1589;0;0;0;0;0;0;0;0;0;0
Twelve Thirty (Young Girls Are Coming To The Canyon);Mama's & Papa's;1967;0;1358;1219;1300;1980;1606;1710;1615;1871;1665;1556;1632;1949;0;0;0
Do Wah Diddy Diddy;Manfred Mann;1964;1643;1929;1966;1792;0;0;0;0;0;0;0;0;0;0;0;0
Ha Ha, Said The Clown;Manfred Mann;1967;1240;1666;1290;1491;1534;1880;1867;1791;0;1909;1844;0;0;0;0;0
Mighty Quinn (Quinn The Eskimo);Manfred Mann;1968;1529;1390;1769;1532;0;1842;0;0;0;0;0;0;0;0;0;0
Pretty Flamingo;Manfred Mann;1966;1890;1899;0;1627;0;0;0;0;0;0;0;0;0;0;0;0
Blinded By The Light;Manfred Mann's Earth band;1976;987;718;532;754;668;875;1023;1305;1580;1074;819;979;1111;1291;1190;1204
Davy's On The Road Again;Manfred Mann's Earth band;1978;852;820;657;848;1060;1149;1202;1308;1915;1298;1100;972;1340;1847;1625;1527
Father Of Day, Father Of Night;Manfred Mann's Earth Band;1973;0;1254;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chanson D'amour;Manhattan Transfer;1976;1156;0;1933;1242;1977;0;0;0;0;0;0;0;0;0;0;0
Kiss And Say Goodbye;Manhattans;1976;1334;1562;1812;1892;1454;1602;1565;1921;1818;1694;1893;1724;0;0;0;0
Motorcycle Emptiness;Manic Street Preachers;1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;821
If You Tolerate This Your Children Will Be Next;Manic Street Preachers;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;999
Me Gustas Tu;Manu Chao;2000;0;0;0;0;0;0;0;0;1636;0;1407;1259;1142;1157;966;1166
Only One Woman;Marbles;1968;1491;1625;1539;1795;1680;1949;0;0;0;0;0;0;0;0;0;0
The Walls Fell Down;Marbles;1969;1858;1949;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Walking In Memphis;Marc Cohn;1991;971;1405;1876;1347;1263;1535;1487;1687;1482;1513;1683;1476;1650;1382;1095;1135
Blue Moon;Marcels;1961;1482;0;1834;1914;1905;0;0;0;0;0;0;0;0;0;0;0
Many Rivers To Cross;Marcia Hines;1982;1841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dochters;Marco Borsato;2008;0;0;0;0;0;0;0;0;0;0;25;31;42;47;72;68
Margherita;Marco Borsato;1996;149;156;152;147;142;98;131;105;160;128;129;187;175;226;289;354
Rood;Marco Borsato;2006;0;0;0;0;0;0;0;17;30;73;79;133;187;263;342;374
Afscheid Nemen Bestaat Niet;Marco Borsato;2003;0;0;0;0;0;0;0;156;169;407;145;383;420;355;448;466
Zij;Marco Borsato;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;538;557;644
Binnen;Marco Borsato;1999;0;0;0;415;342;161;187;251;346;251;282;652;747;577;846;1041
De Bestemming;Marco Borsato;1998;0;0;653;622;771;343;502;563;659;556;422;1079;929;953;1049;1083
Speeltuin;Marco Borsato;1998;0;0;0;0;492;190;357;332;318;344;318;804;643;922;886;1136
Dromen Zijn Bedrog;Marco Borsato;1994;117;283;255;488;465;202;274;225;403;275;356;735;820;957;1065;1145
De Waarheid;Marco Borsato;1996;264;235;236;529;520;249;351;371;525;379;305;767;731;739;963;1157
Ik Leef Niet Meer Voor Jou;Marco Borsato;1996;327;0;295;464;490;224;318;369;472;363;364;789;753;861;912;1203
Waarom Nou Jij;Marco Borsato;1994;335;274;226;510;420;195;385;382;554;374;333;1060;955;1305;1338;1332
Je Hoeft Niet Naar Huis Vannacht;Marco Borsato;1995;0;0;0;0;0;615;939;880;1189;1099;785;0;0;0;0;0
Stop De Tijd;Marco Borsato;2008;0;0;0;0;0;0;0;0;0;0;348;0;1607;0;0;0
Vrij Zijn;Marco Borsato;1996;0;0;0;0;0;0;0;0;0;0;607;1756;1674;1993;1762;0
Waterkant;Marco Borsato;2010;0;0;0;0;0;0;0;0;0;0;0;0;1629;0;0;0
Wit Licht;Marco Borsato;2008;0;0;0;0;0;0;0;0;0;0;865;0;0;0;0;0
Wat Zou Je Doen;Marco Borsato & Ali B;2004;0;0;0;0;0;0;0;1025;699;1537;689;1175;1071;0;1572;1891
Voorbij;Marco Borsato & Do;2004;0;0;0;0;0;0;0;0;1223;0;890;0;0;0;0;0
Everytime I Think Of You;Marco Borsato & Lucie Silvas;2007;0;0;0;0;0;0;0;0;784;0;1010;0;0;0;0;0
Ik zou het zo weer overdoen;Marco Borsato & Trijntje Oosterhuis;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187
Wereld Zonder Jou;Marco Borsato & Trijntje Oosterhuis;1997;178;230;206;342;343;182;235;342;579;311;443;793;1099;1410;1023;1454
We Are Growing (Shaka Zulu);Margaret Singana;1989;1878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Goodbye To Love;Margie Ball;1965;0;0;0;0;0;0;596;0;0;0;0;0;0;0;0;0
Black Pearl;Margriet Eshuijs;1982;823;910;1234;1360;1633;1498;1373;1260;1502;1382;1643;1374;1727;1777;0;0
Show Me Heaven;Maria McKee;1990;1291;0;0;1975;0;0;0;0;0;0;0;0;0;0;0;0
Just Hold Me;Maria Mena;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1861
All This Time;Maria Mena;2008;0;0;0;0;0;0;0;0;0;0;1179;1521;1274;1425;1334;0
I'm In Love;Maria Mena;2009;0;0;0;0;0;0;0;0;0;0;1422;0;0;0;0;0
All I Want For Christmas Is You;Mariah Carey;1994;0;0;0;0;0;0;0;1338;1024;1819;1096;1123;1246;1189;1149;1307
Hero;Mariah Carey;1993;487;0;1496;1567;1875;1548;1859;0;0;0;0;0;0;0;0;0
I'll Be There;Mariah Carey;1992;789;1033;0;0;0;1897;0;0;0;0;0;0;0;0;0;0
Without You;Mariah Carey;1994;0;0;0;0;1964;1805;0;0;0;0;0;0;0;0;0;0
The Ballad Of Lucy Jordan;Marianne Faithfull;1979;732;644;791;723;905;715;688;835;975;798;1003;1097;1255;1487;1452;1383
As Tears Go By;Marianne Faithfull;1964;1031;0;1251;1287;978;1060;1248;914;1096;1049;1105;1194;1237;1271;1487;1698
Summer Nights;Marianne Faithfull;1965;1628;1522;0;0;0;1985;0;0;0;0;0;0;0;0;0;0
Ich Bin Wie Du;Marianne Rosenberg;1976;715;726;582;513;850;923;868;911;1097;876;1062;929;1180;1134;1259;1237
Paper Roses;Marie Osmond;1973;1806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kayleigh;Marillion;1985;38;55;68;73;66;103;121;115;154;111;173;198;217;159;174;163
Move Closer;Marilyn Martin;1986;1842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Worn Down Piano;Mark & Clark Band;1977;164;78;66;59;72;81;64;73;83;72;95;80;127;107;125;112
What It Is;Mark Knopfler;2000;0;545;0;340;455;762;653;836;950;724;708;697;541;417;400;448
Lili Marlene;Marlene Dietrich;1946;984;1111;1480;1362;861;1671;1310;0;0;1964;0;0;0;0;0;0
Sag Mir Wo Die Blumen Sind;Marlene Dietrich;1963;1048;0;0;1992;1223;1351;338;1116;1615;1031;1428;1761;1900;1902;0;0
New Age;Marlon Roudette;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1678;0;0
I See The Rain;Marmalade;1967;0;1437;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ob La Di Ob La Da;Marmalade;1968;0;1623;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rainbow;Marmalade;1970;1875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reflections Of My Life;Marmalade;1970;1139;1464;1197;1299;1595;1403;1706;1578;1974;1620;0;0;0;0;0;0
She Will Be Loved;Maroon 5;2004;0;0;0;0;0;0;0;0;0;0;1779;1425;965;902;972;1099
This Love;Maroon 5;2004;0;0;0;0;0;0;875;925;1219;1448;1328;1279;1170;1290;1430;1802
Misery;Maroon 5;2010;0;0;0;0;0;0;0;0;0;0;0;0;1426;1684;0;0
Moves Like Jagger;Maroon 5 & Christina Aguilera;2011;0;0;0;0;0;0;0;0;0;0;0;0;371;757;1146;1375
Dancing In The City;Marshall Hain;1978;1990;1764;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abergavenny;Marty Wilde;1968;1790;1814;0;0;0;0;0;0;0;0;0;0;0;0;0;0
What's Going On;Marvin Gaye;1971;0;0;0;0;321;297;509;219;212;284;200;268;246;264;264;268
I Heard It Through The Grapevine;Marvin Gaye;1969;583;859;726;840;837;579;823;714;924;743;675;710;515;653;488;518
Sexual Healing;Marvin Gaye;1982;589;931;1055;1202;903;588;774;569;871;699;823;674;742;790;742;710
It Takes Two;Marvin Gaye & Kim Weston;1967;1920;1839;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Entertainer;Marvin Hamlisch;1974;1928;1911;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Faithfull;Marvin, Welch & Farrar;1971;1603;0;1772;1334;1532;1400;1702;0;0;0;0;0;0;0;0;0
Lady Of The Morning;Marvin, Welch & Farrar;1971;0;1445;1836;0;0;0;0;0;0;0;0;0;0;0;0;0
Goodbye;Mary Hopkin;1969;1942;1884;0;0;0;1553;0;0;0;0;0;0;0;0;0;0
Knock Knock Who's There;Mary Hopkin;1970;1974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Those Were The Days;Mary Hopkin;1968;1314;0;0;1483;1377;929;1742;1634;1999;1585;0;0;0;0;0;0
Torn Between Two Lovers;Mary MacGregor;1977;1502;1531;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Guy;Mary Wells;1964;1949;1943;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Classical Gas;Mason Williams;1968;1517;0;1900;0;0;0;0;0;0;0;0;0;0;0;0;0
Latin Dance;Massada;1978;0;1678;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sajang E;Massada;1980;0;0;1928;0;1807;0;0;0;0;0;0;0;0;0;0;0
Unfinished Sympathy;Massive Attack;1991;0;0;0;0;0;0;0;0;0;0;587;532;522;383;370;389
Teardrop;Massive Attack;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716
Ti Sento;Matia Bazar;1986;910;1010;938;684;996;1021;1515;1554;1902;1369;1865;1766;1871;1702;1638;1816
More Than I Can Bear;Matt Bianco;1985;1308;0;1561;1978;0;0;0;0;0;0;0;0;0;0;0;0
Whose Side Are You On?;Matt Bianco;1984;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Two Shots Of Happy One Shot Of Sad;Matt Dusk;2005;0;0;0;0;0;0;0;697;1954;1755;0;0;0;0;0;0
With You;Matt Simons;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1716;938
Break My Stride;Matthew Wilder;1984;1757;0;0;1026;0;0;0;0;0;0;0;0;0;0;0;0
Woodstock;Matthews Southern Comfort;1970;1459;0;1422;0;1784;0;0;0;1892;0;0;0;0;0;0;0
Verdammt Ich Lieb' Dich;Matthias Reim;1990;1176;1477;1278;1156;888;1320;1330;1143;1720;1279;1301;1271;1383;1222;1282;1359
The Morning After;Maureen McGovern;1973;1778;1804;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rain In May;Max Werner;1981;0;1853;1776;1955;0;0;0;0;0;0;0;0;0;0;0;0
Right Back Where We Started From;Maxine Nightingale;1976;1953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Late At Night;Maywood;1980;1755;1616;1804;0;0;0;0;0;0;0;0;0;0;0;0;0
Mother How Are You Today;Maywood;1980;1617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rio;Maywood;1981;1750;1738;0;0;0;0;0;0;0;0;0;0;0;0;0;0
U Can't Touch This;MC Hammer;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;1839;1859;0
Hang On, Sloopy;McCoys;1965;1882;1712;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Don't You Write Her Off;McGuinn, Clark & Hillman;1979;1730;0;1695;0;0;0;0;0;0;0;0;0;0;0;0;0
When I'm Dead And Gone;McGuinness Flint;1971;1859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paradise By The Dashboard Light;Meat Loaf;1978;5;5;5;5;5;6;6;7;10;6;12;9;11;19;22;17
Bat Out Of Hell;Meat Loaf;1977;0;0;0;0;0;0;0;252;337;644;340;280;285;228;310;309
I'd Do Anything For Love;Meat Loaf;1993;416;0;190;260;234;389;497;348;446;370;623;690;581;593;638;651
You Took The Words Right Out Of My Mouth;Meat Loaf;1979;870;0;314;699;443;711;935;651;689;642;834;742;920;1051;944;832
Two Out Of Three Ain't Bad;Meat Loaf;1977;0;502;212;523;500;799;0;0;925;1244;809;831;755;829;816;841
Alive;Meat Loaf;2006;0;0;0;0;0;0;0;0;532;1830;0;0;0;0;0;0
Hijo De La Luna;Mecano;1990;444;628;774;749;593;1018;987;932;954;859;997;1111;1088;1169;1201;1399
Respectable;Mel & Kim;1987;0;1790;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beautiful People;Melanie;1969;528;508;624;438;548;574;485;545;648;554;603;585;706;654;674;982
Ruby Tuesday;Melanie;1970;0;0;0;0;0;0;1681;1283;1445;1790;1471;1574;1654;1755;1804;0
Lay Down;Melanie & Edwin Hawkins Singers;1970;879;1070;928;781;809;861;996;1145;1350;1041;1587;1436;1586;1514;1636;1889
Like The Way I Do;Melissa Etheridge;1989;0;191;222;209;235;267;445;445;459;356;629;623;561;510;563;533
Down Under;Men At Work;1982;229;188;285;206;237;336;344;406;598;364;586;619;598;505;421;570
Nothing Else Matters;Metallica;1992;0;0;1014;99;16;19;20;10;15;14;19;11;14;14;9;11
One;Metallica;1994;0;0;0;0;478;23;40;30;13;35;31;34;32;20;14;18
Enter Sandman;Metallica;1991;0;0;0;0;0;0;0;0;0;0;144;176;137;89;67;79
Sad But True;Metallica;1992;0;0;0;0;0;0;0;0;0;0;1209;0;548;324;284;359
Master of Puppets;Metallica;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1470
Garden Party;Mezzoforte;1983;0;1318;1337;0;0;0;0;0;0;0;0;0;0;0;0;0
TSOP (The Sound Of Philadelphia);MFSB & The Three Degrees;1974;0;1909;1855;0;0;0;0;0;0;0;0;0;0;0;0;0
Conga;Miami Sound Machine;1986;0;1313;1526;1732;0;0;0;0;0;0;0;0;0;0;0;0
Dr. Beat;Miami Sound Machine;1984;1385;1709;1800;0;0;0;0;0;0;0;0;0;0;0;0;0
How Am I Supposed To Live Without You;Michael Bolton;1990;1033;0;0;0;1813;1839;0;0;0;0;0;0;0;0;0;0
Feeling Good;Michael Buble;2004;0;0;0;0;0;0;867;902;910;1315;788;1219;976;885;933;591
